region,water_use,population,pct_developed,pct_agriculture,pct_increase,absolute_use,urban_pct,agriculture_pct,per_capita_use,pct_increase_norm,absolute_use_norm,population_norm,urban_pct_norm,agriculture_pct_norm,per_capita_use_norm,risk_index,risk_category,stress_scenario
South Coast,67272874833.333336,18452069.944910284,0.3318997153246653,0.0176986110595525,4.430499797604163,67272874833.333336,0.3318997153246653,0.0176986110595525,3645.8172462049174,90.46552668050347,99.99999999999999,100.0,100.00000000000001,4.156348784824643,23.944732812132216,76.12901686974547,Very High Risk,Climate Change
Sacramento River,15563919941.666666,2789345.166872741,0.0632338804971099,0.1305029591103772,4.720363471543244,15563919941.666666,0.0632338804971099,0.1305029591103772,5579.775542485503,100.0,22.7773670976247,14.876360995317173,13.585530097095504,40.10993519192864,83.9014439403105,48.86658762489027,Moderate Risk,Climate Change
San Francisco Bay,19810290750.0,6278433.225695647,0.260770995420197,0.0264588239881343,3.698561314654102,19810290750.0,0.260770995420197,0.0264588239881343,3155.292098818974,66.38990574337706,29.118936653348484,33.83882612087776,77.12194917019504,6.948449248279186,8.737437691297217,43.42626655346426,Moderate Risk,Climate Change
Tulare Lake,11921538525.0,1954655.2724894795,0.0685570155784535,0.318407988636479,1.6801989629662002,11921538525.0,0.0685570155784535,0.318407988636479,6099.049122772703,0.0,17.337800902195497,10.339995691243944,15.297678932734069,100.0,99.99999999999999,32.211205275562726,Moderate Risk,Climate Change
San Joaquin River,7285179475.0,1426694.9054006934,0.067276591793311,0.2318408784631214,2.041067880943771,7285179475.0,0.067276591793311,0.2318408784631214,5106.333139217264,11.870045747836066,10.41381928872345,7.47064132706181,14.885839657691225,72.40888202085266,69.22374925414447,26.331427370239695,Moderate Risk,Climate Change
South Lahontan,3862781350.0,877256.3052709835,0.0209959568112717,0.0046580701345075,3.924101217895753,3862781350.0,0.0209959568112717,0.0046580701345075,4403.252876942037,73.80858004884138,5.302778181697626,4.484557250665254,0.0,0.0,47.426805511235685,25.848596015969235,Moderate Risk,Climate Change
Central Coast,4169639391.6666665,1157856.1661372117,0.0552739928465291,0.0664752544738724,2.9063230721788695,4169639391.6666665,0.0552739928465291,0.0664752544738724,3601.1721607678023,40.33084741807473,5.761042827626211,6.009558909037865,11.02528840409008,19.702693353520807,22.560642733254113,19.336276806683173,Low Risk,Climate Change
North Lahontan,311994391.6666667,52099.07762169891,0.0233795846049225,0.0270747583739237,2.0346065515547265,311994391.6666667,0.0233795846049225,0.0270747583739237,5988.482059742323,11.657513519043341,0.0,0.0,0.766677059501716,7.144763047731386,96.57219213508738,16.032333189513523,Low Risk,Climate Change
North Coast,1162308980.0,404498.32314941526,0.0347027203158983,0.0262772534589575,3.3547191986764138,1162308980.0,0.0347027203158983,0.0262772534589575,2873.4580923606486,55.079921859030456,1.2698676939800537,1.9152163232726127,4.408683758011282,6.8905781482503095,0.0,15.990802087479059,Low Risk,Climate Change
Colorado River,2565667525.0,653326.3238491003,0.0240747784105803,0.050921332705186596,2.3769668545290763,2565667525.0,0.0240747784105803,0.050921332705186596,3927.0842630130974,22.918756192210132,3.3656563630411527,3.267544555172429,0.9902812413816378,14.74526680088632,32.66459265041584,12.848957865473668,Low Risk,Climate Change
South Coast,67272874833.333336,18452069.944910284,0.3318997153246653,0.0176986110595525,6.897165603266712,67272874833.333336,0.3318997153246653,0.0176986110595525,3645.8172462049174,100.0,99.99999999999999,100.0,100.00000000000001,4.156348784824643,23.944732812132216,78.51263519961961,Very High Risk,Severe Drought
Sacramento River,15563919941.666666,2789345.166872741,0.0632338804971099,0.1305029591103772,5.58131816998826,15563919941.666666,0.0632338804971099,0.1305029591103772,5579.775542485503,72.62902670727149,22.7773670976247,14.876360995317173,13.585530097095504,40.10993519192864,83.9014439403105,42.02384430170815,Moderate Risk,Severe Drought
San Francisco Bay,19810290750.0,6278433.225695647,0.260770995420197,0.0264588239881343,4.379218075501148,19810290750.0,0.260770995420197,0.0264588239881343,3155.292098818974,47.62411447408365,29.118936653348484,33.83882612087776,77.12194917019504,6.948449248279186,8.737437691297217,38.7348187361409,Moderate Risk,Severe Drought
Tulare Lake,11921538525.0,1954655.2724894795,0.0685570155784535,0.318407988636479,2.4815006696741264,11921538525.0,0.0685570155784535,0.318407988636479,6099.049122772703,8.149650247921564,17.337800902195497,10.339995691243944,15.297678932734069,100.0,99.99999999999999,34.24861783754312,Moderate Risk,Severe Drought
San Joaquin River,7285179475.0,1426694.9054006934,0.067276591793311,0.2318408784631214,2.6971984791081622,7285179475.0,0.067276591793311,0.2318408784631214,5106.333139217264,12.636385436217282,10.41381928872345,7.47064132706181,14.885839657691225,72.40888202085266,69.22374925414447,26.523012292334997,Moderate Risk,Severe Drought
Colorado River,2565667525.0,653326.3238491003,0.0240747784105803,0.050921332705186596,5.729556677457652,2565667525.0,0.0240747784105803,0.050921332705186596,3927.0842630130974,75.71253937468575,3.3656563630411527,3.267544555172429,0.9902812413816378,14.74526680088632,32.66459265041584,26.047403661092574,Moderate Risk,Severe Drought
South Lahontan,3862781350.0,877256.3052709835,0.0209959568112717,0.0046580701345075,4.365255059889255,3862781350.0,0.0209959568112717,0.0046580701345075,4403.252876942037,47.33366945915751,5.302778181697626,4.484557250665254,0.0,0.0,47.426805511235685,19.22986836854827,Low Risk,Severe Drought
Central Coast,4169639391.6666665,1157856.1661372117,0.0552739928465291,0.0664752544738724,3.178500286256781,4169639391.6666665,0.0552739928465291,0.0664752544738724,3601.1721607678023,22.647955604640508,5.761042827626211,6.009558909037865,11.02528840409008,19.702693353520807,22.560642733254113,14.915553853324619,Low Risk,Severe Drought
North Lahontan,311994391.6666667,52099.07762169891,0.0233795846049225,0.0270747583739237,2.089709839068421,311994391.6666667,0.0233795846049225,0.0270747583739237,5988.482059742323,0.0,0.0,0.0,0.766677059501716,7.144763047731386,96.57219213508738,13.117954809752689,Low Risk,Severe Drought
North Coast,1162308980.0,404498.32314941526,0.0347027203158983,0.0262772534589575,3.0386971629523156,1162308980.0,0.0347027203158983,0.0262772534589575,2873.4580923606486,19.73990756089986,1.2698676939800537,1.9152163232726127,4.408683758011282,6.8905781482503095,0.0,7.15579851294641,Low Risk,Severe Drought
South Coast,67272874833.333336,18452069.944910284,0.3318997153246653,0.0176986110595525,0.1296373169959842,67272874833.333336,0.3318997153246653,0.0176986110595525,3645.8172462049174,15.936102721668641,99.99999999999999,100.0,100.00000000000001,4.156348784824643,23.944732812132216,57.496660880036764,High Risk,Urbanization
Tulare Lake,11921538525.0,1954655.2724894795,0.0685570155784535,0.318407988636479,-0.879420189322133,11921538525.0,0.0685570155784535,0.318407988636479,6099.049122772703,11.77735607289668,17.337800902195497,10.339995691243944,15.297678932734069,100.0,99.99999999999999,35.155544293786896,Moderate Risk,Urbanization
Central Coast,4169639391.6666665,1157856.1661372117,0.0552739928465291,0.0664752544738724,20.526481299810737,4169639391.6666665,0.0552739928465291,0.0664752544738724,3601.1721607678023,99.99999999999999,5.761042827626211,6.009558909037865,11.02528840409008,19.702693353520807,22.560642733254113,34.25356495216449,Moderate Risk,Urbanization
San Francisco Bay,19810290750.0,6278433.225695647,0.260770995420197,0.0264588239881343,-1.280969757262811,19810290750.0,0.260770995420197,0.0264588239881343,3155.292098818974,10.122402901711752,29.118936653348484,33.83882612087776,77.12194917019504,6.948449248279186,8.737437691297217,29.359390843047933,Moderate Risk,Urbanization
Sacramento River,15563919941.666666,2789345.166872741,0.0632338804971099,0.1305029591103772,0.3192046103179835,15563919941.666666,0.0632338804971099,0.1305029591103772,5579.775542485503,16.717388566016837,22.7773670976247,14.876360995317173,13.585530097095504,40.10993519192864,83.9014439403105,28.04593476639448,Moderate Risk,Urbanization
San Joaquin River,7285179475.0,1426694.9054006934,0.067276591793311,0.2318408784631214,-1.5992934751960932,7285179475.0,0.067276591793311,0.2318408784631214,5106.333139217264,8.81045815437015,10.41381928872345,7.47064132706181,14.885839657691225,72.40888202085266,69.22374925414447,25.566530471873214,Moderate Risk,Urbanization
North Lahontan,311994391.6666667,52099.07762169891,0.0233795846049225,0.0270747583739237,2.080047005118441,311994391.6666667,0.0233795846049225,0.0270747583739237,5988.482059742323,23.97455415126879,0.0,0.0,0.766677059501716,7.144763047731386,96.57219213508738,19.111593347569887,Low Risk,Urbanization
South Lahontan,3862781350.0,877256.3052709835,0.0209959568112717,0.0046580701345075,0.1599756179141098,3862781350.0,0.0209959568112717,0.0046580701345075,4403.252876942037,16.06113950746399,5.302778181697626,4.484557250665254,0.0,0.0,47.426805511235685,11.411735880624889,Low Risk,Urbanization
North Coast,1162308980.0,404498.32314941526,0.0347027203158983,0.0262772534589575,2.8825061932613867,1162308980.0,0.0347027203158983,0.0262772534589575,2873.4580923606486,27.281823002221323,1.2698676939800537,1.9152163232726127,4.408683758011282,6.8905781482503095,0.0,9.041277373276776,Low Risk,Urbanization
Colorado River,2565667525.0,653326.3238491003,0.0240747784105803,0.050921332705186596,-3.737019017432256,2565667525.0,0.0240747784105803,0.050921332705186596,3927.0842630130974,0.0,3.3656563630411527,3.267544555172429,0.9902812413816378,14.74526680088632,32.66459265041584,7.119268817421135,Low Risk,Urbanization
South Coast,67272874833.333336,18452069.944910284,0.3318997153246653,0.0176986110595525,-7.150562930330545,67272874833.333336,0.3318997153246653,0.0176986110595525,3645.8172462049174,0.0,99.99999999999999,100.0,100.00000000000001,4.156348784824643,23.944732812132216,53.5126351996196,High Risk,Wet Year
Tulare Lake,11921538525.0,1954655.2724894795,0.0685570155784535,0.318407988636479,-4.622584147543994,11921538525.0,0.0685570155784535,0.318407988636479,6099.049122772703,42.26241865131506,17.337800902195497,10.339995691243944,15.297678932734069,100.0,99.99999999999999,42.776809938391494,Moderate Risk,Wet Year
Sacramento River,15563919941.666666,2789345.166872741,0.0632338804971099,0.1305029591103772,-3.991084469688862,15563919941.666666,0.0632338804971099,0.1305029591103772,5579.775542485503,52.81974767061388,22.7773670976247,14.876360995317173,13.585530097095504,40.10993519192864,83.9014439403105,37.07152454254375,Moderate Risk,Wet Year
San Joaquin River,7285179475.0,1426694.9054006934,0.067276591793311,0.2318408784631214,-4.917697537803858,7285179475.0,0.067276591793311,0.2318408784631214,5106.333139217264,37.32875159141062,10.41381928872345,7.47064132706181,14.885839657691225,72.40888202085266,69.22374925414447,32.69610383113333,Moderate Risk,Wet Year
San Francisco Bay,19810290750.0,6278433.225695647,0.260770995420197,0.0264588239881343,-6.86949912635684,19810290750.0,0.260770995420197,0.0264588239881343,3155.292098818974,4.698787913945409,29.118936653348484,33.83882612087776,77.12194917019504,6.948449248279186,8.737437691297217,28.003487096106348,Moderate Risk,Wet Year
North Coast,1162308980.0,404498.32314941526,0.0347027203158983,0.0262772534589575,-1.168939389937433,1162308980.0,0.0347027203158983,0.0262772534589575,2873.4580923606486,99.99999999999999,1.2698676939800537,1.9152163232726127,4.408683758011282,6.8905781482503095,0.0,27.220821622721445,Moderate Risk,Wet Year
North Lahontan,311994391.6666667,52099.07762169891,0.0233795846049225,0.0270747583739237,-3.799045052278851,311994391.6666667,0.0233795846049225,0.0270747583739237,5988.482059742323,56.03023753366183,0.0,0.0,0.766677059501716,7.144763047731386,96.57219213508738,27.125514193168147,Moderate Risk,Wet Year
Colorado River,2565667525.0,653326.3238491003,0.0240747784105803,0.050921332705186596,-2.7064759686662834,2565667525.0,0.0240747784105803,0.050921332705186596,3927.0842630130974,74.29566457424025,3.3656563630411527,3.267544555172429,0.9902812413816378,14.74526680088632,32.66459265041584,25.6931849609812,Moderate Risk,Wet Year
Central Coast,4169639391.6666665,1157856.1661372117,0.0552739928465291,0.0664752544738724,-4.99749271882978,4169639391.6666665,0.0552739928465291,0.0664752544738724,3601.1721607678023,35.99474619158772,5.761042827626211,6.009558909037865,11.02528840409008,19.702693353520807,22.560642733254113,18.25225150006142,Low Risk,Wet Year
South Lahontan,3862781350.0,877256.3052709835,0.0209959568112717,0.0046580701345075,-4.8681047314952615,3862781350.0,0.0209959568112717,0.0046580701345075,4403.252876942037,38.1578376409372,5.302778181697626,4.484557250665254,0.0,0.0,47.426805511235685,16.93591041399319,Low Risk,Wet Year
