region,report_date,year,month,month_sin,month_cos,ppt,ppt_3month_total,tmax,tmax_3month_avg,population,pct_developed,pct_agriculture,pct_forest,pct_shrub_grass,water_use_lastmonth,water_use_lastyear,water_use_last3month_avg,water_use
Central Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,11.521413343210039,15.00395066238342,27.75195472064989,30.272382015308093,1151119.265911772,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,4786369436.868017,5020226976.511572,5315026732.612121,4608829400.0
Colorado River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,4.935868526476388,22.098569830645587,32.15232036555426,36.98338687219396,649524.9930904543,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,5534828659.1428,6329997220.7466,6664478499.874133,3419795200.0
North Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,74.51167888611612,101.93304687761805,22.123877655839337,26.89295195232364,402144.7796574747,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1477431877.2084,1411464798.4681,1585867508.3161333,1365017900.0
North Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,32.710408700133435,55.18997110237089,18.860202421510525,24.72429894694873,51795.943002702326,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,237220946.0,313431155.98,345630569.76,309247400.0
Sacramento River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,42.92468403375752,59.528457542881284,24.002301387461422,29.061277552022776,2773115.5689027044,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,21227498086.103012,20493772744.200783,24347804674.05446,20262400000.0
San Francisco Bay,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,26.901419388422266,30.51253307405489,26.190229191433172,28.094527821506745,6241902.627638109,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,26459538332.55669,27254332120.243217,29081775441.008984,23994229000.0
San Joaquin River,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,25.41095124226173,33.6251878520135,25.328777099937533,29.625554855933373,1418393.7869103944,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,8610679621.476776,9956715643.574448,10912387376.097275,7844460500.0
South Coast,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,6.656596235022483,20.893864956528986,27.960378614892292,30.556801470798238,18344707.944510516,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,86379575336.45772,91546489148.26836,95226342609.99425,79297905000.0
South Lahontan,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,6.273508665741923,20.956966401950066,27.08063274762849,32.45898606057091,872152.0545241351,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,4771868584.092935,4404403141.003241,5276310616.214595,4289228800.0
Tulare Lake,2025-10-01,2025,10,-0.8660254037844386,0.5000000000000001,8.463242628083837,14.967467147515723,26.143952970035095,30.762961115104634,1943282.2557616557,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,13919071656.631853,13262845227.51684,15644585839.707472,12834688000.0
Central Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,32.36529307854652,46.74983985368249,21.83869431271698,26.7554324055647,1153534.248474757,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,4608829440.0,4095560782.181743,4990407976.540168,3963031300.0
Colorado River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,5.874065685504118,17.12441225654022,24.670865044484426,31.53144353065483,650887.6594787142,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,3419795200.0,5628581471.669,5402823974.354333,2852581000.0
North Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,134.13495999233783,230.02095415457146,14.710494439788791,21.44022195130598,402988.45646788675,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1365017856.0,963308643.74,1484897174.0661335,1034039360.0
North Lahontan,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,45.56930752154014,91.38108634519475,11.163040697008782,18.49535525528674,51904.607936813925,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,309247392.0,205188950.55,275344438.0,235682030.0
Sacramento River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,83.47569623090418,139.11831326680087,15.952273023691259,23.261384502424445,2778933.4071948454,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,20262400000.0,12271057493.181461,22298047236.48926,13415433000.0
San Francisco Bay,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,53.196003921927264,83.38236202823767,20.017540764203268,24.973124952926465,6254997.783328738,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,23994228736.0,22250961777.509205,26993763739.14473,20314640000.0
San Joaquin River,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,52.567061443869534,83.9570069997012,17.91170002184353,24.51658500384042,1421369.4961737797,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,7844460544.0,6996979721.933494,9450648451.814692,6171802600.0
South Coast,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,23.563114564083303,36.06083776222586,23.03381733992598,27.31053953556039,18383194.09544289,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,79297904640.0,82485827465.42513,88465701151.82198,72594285000.0
South Lahontan,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,8.656205902026612,18.932075406596596,19.54089159289761,26.622439649730133,873981.779789205,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,4289228800.0,3172827475.88796,4804317803.37613,3503638800.0
Tulare Lake,2025-11-01,2025,11,-0.5000000000000004,0.8660254037844384,28.65870157456732,39.325546099607166,18.94518920938464,25.51650537974029,1947359.1510943957,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,12834688000.0,9300052658.380552,14347257054.469812,9976808000.0
Central Coast,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,86.24669662659822,130.13340304835475,17.751826037730996,22.447491690365954,1155876.152244367,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,3963031296.0,3506539209.9648857,4452743390.956006,3166946800.0
Colorado River,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,13.901923585055375,24.711857797035886,19.65894934156138,25.49404491720003,652209.090780248,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2852581120.0,6539442405.0226,3935734993.0476,2329639200.0
North Coast,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,219.1933727710984,427.8400116495524,10.624851235747423,15.819741110458517,403806.60312158114,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1034039360.0,998220516.874,1292163031.0694666,945089340.0
North Lahontan,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,82.79865696905337,161.07837319072698,6.742382763898027,12.255208627472445,52009.98460607891,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,235682032.0,216598046.18,260716790.0,259020910.0
Sacramento River,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,147.2380770410355,273.6384573056972,11.530259968478964,17.161611459877214,2784575.1942769457,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,13415433216.0,10128140698.811867,18301777100.701004,10049152000.0
San Francisco Bay,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,121.48889615560597,201.5863194659555,16.043785715899865,20.75051855717877,6267696.671902744,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,20314640384.0,19190492571.62309,23589469150.85223,16299099000.0
San Joaquin River,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,105.635106024512,183.61311871064325,13.529365653539422,18.923280925106827,1424255.1587238943,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,6171802624.0,5724561511.008169,7542314263.158925,5291734500.0
South Coast,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,62.42230862783024,92.64201942693602,19.01510298662381,23.336432980480694,18420515.63280211,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,72594284544.0,78841952649.09735,79423921506.81923,61197360000.0
South Lahontan,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,21.208716396777703,36.13843096454624,14.607585240823358,20.409703193783148,875756.1364911105,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,3503638784.0,3035258253.72236,4188245389.364311,2826622000.0
Tulare Lake,2025-12-01,2025,12,-2.4492935982947064e-16,1.0,55.878936805956265,93.0008810086074,14.44215052655275,19.843764235324162,1951312.6771754485,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,9976808448.0,7817425070.650784,12243522701.543951,7939639000.0
Central Coast,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,98.8376250607665,199.41691556615626,17.576953678084656,18.904677499587745,1158301.1144835572,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,3166946816.0,3754197255.01878,3912935850.6666665,3122209800.0
Colorado River,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,18.451065810556262,36.839647020849924,19.217332898748552,21.016935715276823,653577.3882523671,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2329639168.0,4750385723.99732,2867338496.0,2256629000.0
North Coast,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,205.16203473987673,524.6818924638663,11.461578326457875,12.219211580932706,404653.7663428347,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,945089344.0,961598350.11,1114715520.0,908219840.0
North Lahontan,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,79.11369412831418,188.98947567077147,6.965665284020818,8.157797564183534,52119.09858726601,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,259020912.0,228098142.94,267983445.33333334,249955620.0
Sacramento River,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,137.73647638996266,341.6766322971205,12.045079369222435,13.086275677056683,2790417.074209494,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,10049152000.0,10193028949.33997,14575661738.666666,9166224000.0
San Francisco Bay,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,113.61135868808687,266.42082555408706,16.247272376276413,17.374996068032953,6280845.942027014,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,16299099136.0,20361293756.860558,20202656085.333332,16497741000.0
San Joaquin River,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,115.4313095751657,247.26039119712632,13.548684127312514,14.897751478723729,1427243.1648110268,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,5291734528.0,5717876233.418617,6435999232.0,4977215500.0
South Coast,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,75.0405981625049,151.11654623041602,18.468169940431643,19.975984284408028,18459160.823940646,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,61197361152.0,76667999177.84198,71029850112.0,56598307000.0
South Lahontan,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,29.430917804197726,55.65738340877062,14.362312072915273,15.972759111592966,877593.4229145795,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,2826621952.0,3038997756.42452,3539829845.3333335,2612961800.0
Tulare Lake,2026-01-01,2026,1,0.49999999999999994,0.8660254037844387,67.46309758360482,138.74618766118388,14.351144704053219,15.827589295686435,1955406.41987428,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,7939638784.0,7497787217.20712,10250378410.666666,7355511000.0
Central Coast,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,74.1735788013812,244.7856809393955,18.662965441459697,17.98152293781998,1160731.1641552115,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,3122209792.0,3188373679.765178,3417395968.0,2994375700.0
Colorado River,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,12.633451901973018,44.40468145352393,21.831675442260387,20.212585374657618,654948.5563345386,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2256628992.0,4349545068.174406,2479616426.6666665,2251032000.0
North Coast,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,166.2537183615827,564.5115175079355,12.641073598117357,11.623185693462274,405502.7068642064,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,908219840.0,837451122.132,962449514.6666666,874940400.0
North Lahontan,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,73.84001327923383,221.45551243750242,8.260187738489353,7.330369162919195,52228.441483362054,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,249955616.0,197195500.49,248219520.0,229687380.0
Sacramento River,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,119.37479129331307,383.2590503259754,13.770975847791801,12.487382142985542,2796271.210072935,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,9166224384.0,8878708411.34942,10876936533.333334,8342695400.0
San Francisco Bay,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,91.50750859789743,308.52612413308987,17.933235987944443,16.772281304726512,6294022.798570003,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,16497740800.0,17841456876.72597,17703826773.333332,15832530000.0
San Joaquin River,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,91.9979201639242,292.12266433863925,15.271993439729902,14.137846783656578,1430237.4395645019,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,4977215488.0,5106867431.801685,5480250880.0,4767990000.0
South Coast,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,71.1114910484822,203.28821053280222,19.354471800817837,18.898932209032242,18497887.090485968,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,56598306816.0,59399437446.00228,63463317504.0,51973796000.0
South Lahontan,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,24.334981935456234,72.6339613569479,16.546531350972984,15.135698989609478,879434.5638601708,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,2612961792.0,2504190192.7315598,2981074176.0,2576006100.0
Tulare Lake,2026-02-01,2026,2,0.8660254037844386,0.5000000000000001,53.77637421869896,167.30022153977302,16.278535686145496,15.051599180571554,1959508.751011797,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,7355510784.0,6732440913.489341,8423986005.333333,7047317500.0
Central Coast,2026-03-01,2026,3,1.0,6.123233995736766e-17,83.6022178883747,256.6134217505224,19.116318112805292,18.452079077449884,1162930.4293637518,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,2994375680.0,3461580341.07605,3094510762.6666665,3366795500.0
Colorado River,2026-03-01,2026,3,1.0,6.123233995736766e-17,13.738197383018688,44.82271509554798,24.426640084789582,21.825216141932838,656189.5030910415,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2251032064.0,4559192357.133,2279100074.6666665,2339471000.0
North Coast,2026-03-01,2026,3,1.0,6.123233995736766e-17,161.01027843139522,532.4260315328548,13.823120615272124,12.641924179949118,406271.0225799513,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,874940416.0,901756172.5029,909416533.3333334,962087600.0
North Lahontan,2026-03-01,2026,3,1.0,6.123233995736766e-17,75.01787315799844,227.97158056554642,9.998829481707176,8.408227501405783,52327.39996556516,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,229687376.0,195896839.01999998,246221301.33333334,231904240.0
Sacramento River,2026-03-01,2026,3,1.0,6.123233995736766e-17,121.21715875111012,378.3284264343859,14.970364081806737,13.595473099606993,2801569.37227954,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,8342695424.0,9941404659.732811,9186023936.0,9672474000.0
San Francisco Bay,2026-03-01,2026,3,1.0,6.123233995736766e-17,87.1142327838812,292.23310006986543,18.56511144922871,17.581873271149853,6305948.234700366,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,15832529920.0,19647441413.931423,16209789952.0,17488015000.0
San Joaquin River,2026-03-01,2026,3,1.0,6.123233995736766e-17,108.2880347106428,315.71726444973274,16.578268112404082,15.132981893148832,1432947.3447845234,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,4767989760.0,5983289787.790964,5012313258.666667,5478196000.0
South Coast,2026-03-01,2026,3,1.0,6.123233995736766e-17,66.50501008942513,212.65709930041228,19.754472681407982,19.192371474219158,18532935.481332973,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,51973795840.0,65650398956.11372,56589821269.333336,58093870000.0
South Lahontan,2026-03-01,2026,3,1.0,6.123233995736766e-17,23.597743837159868,77.36364357681383,18.7800912618857,16.56297822859132,881100.849645556,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,2576006144.0,2849835214.4260397,2671863296.0,2916098300.0
Tulare Lake,2026-03-01,2026,3,1.0,6.123233995736766e-17,69.05141369455643,190.29088549686023,17.798857304781336,16.142845898326684,1963221.479294635,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,7047317504.0,7452692789.866943,7447489024.0,8151535600.0
Central Coast,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,20.539493007841315,178.31528969759717,22.515372626864032,20.098218727043008,1165370.1910739806,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,3366795520.0,4006422074.08466,3161126997.3333335,3981366000.0
Colorado River,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,4.443961846466296,30.815611131457995,29.52706247065013,25.261792665900035,657566.151241156,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2339471104.0,5339894337.3946,2282377386.6666665,2535411200.0
North Coast,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,76.49206653117577,403.7560633241537,18.066140529053435,14.843444914147637,407123.3560126644,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,962087616.0,1080315852.71,915082624.0,1042036100.0
North Lahontan,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,34.43521787555167,183.29310431278395,14.798114322050653,11.019043847415727,52437.1798660719,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,231904240.0,197467646.07999998,237182410.66666666,256452850.0
Sacramento River,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,51.173044929631295,291.76499497405445,19.764497144487088,16.168612358028543,2807446.9050282333,0.0632338804971099,0.13050295911037726,0.2961286588119758,0.4672420879793009,9672473600.0,13611944314.924452,9060464469.333334,13741983000.0
San Francisco Bay,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,29.731753742164464,208.35349512394313,21.363802317396107,19.28738325152309,6319177.754421614,0.260770995420197,0.026458823988134327,0.16053173548344907,0.38369013550899306,17488015360.0,22743406141.044533,16606095360.0,20221090000.0
San Joaquin River,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,42.222376962210696,242.50833183677767,20.703913151878478,17.518058234670818,1435953.5865822309,0.06727659179331104,0.23184087846312143,0.20737692984122102,0.4411034798487962,5478196224.0,7783530659.204707,5074467157.333333,6909072400.0
South Coast,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,16.497120168263585,154.11362130617093,22.788729555512642,20.63255801257949,18571816.522901587,0.33189971532466533,0.0176986110595525,0.06620351758825803,0.5601958975280288,58093871104.0,78101918819.43973,55555324586.666664,65807010000.0
South Lahontan,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,8.35726471270753,56.289990485323635,24.080776950214116,19.80246652102426,882949.3489723741,0.02099595681127178,0.004658070134507505,0.03478836599840612,0.8264792560058702,2916098304.0,3582492104.50916,2701688746.6666665,3714844200.0
Tulare Lake,2026-04-01,2026,4,0.8660254037844387,-0.4999999999999998,22.178751338864032,145.00653925211938,22.070185043303773,18.715859344743535,1967340.2059810648,0.06855701557845359,0.318407988636479,0.11826796274021051,0.4604700980804455,8151535616.0,10144952198.618563,7518121301.333333,10755677000.0
Central Coast,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,8.33316123552037,112.47487213173635,24.685348735588455,22.105679825085925,1167736.1241592583,0.05527399284652916,0.06647525447387241,0.13322881090650826,0.7257131629966616,3981366016.0,5022492529.136805,3447512405.3333335,4641744400.0
Colorado River,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,2.790794758111213,20.972953987596203,32.897230147262164,28.950310900900625,658901.1412082037,0.02407477841058034,0.0509213327051866,0.004832678951615947,0.7257233241568322,2535411200.0,7933417575.1584,2375304789.3333335,2781425000.0
North Coast,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,39.03825685511045,276.5406018176814,21.969383358781673,17.95288150103574,407949.89733417524,0.034702720315898314,0.026277253458957553,0.48683584577662403,0.4252973586701171,1042036096.0,1328626168.823,959688042.6666666,1237557100.0
North Lahontan,2026-05-01,2026,5,0.49999999999999994,-0.8660254037844387,30.058057199988518,139.51114823353865,19.003194946409664,14.600046250055833,52543.63776219284,0.023379584604922534,0.0270747583739237,0.23365856721547543,0.5990145446299847,256452848.0,312268612.78999996,239348154.66666666,337946180.0
